Longitud de onda (nm);x barra;y barra;z barra;x cromático;y cromático;S0;S1;S2
380;0.0013680;0.0000390;0.0064500;0.1741100;0.0049600;63.4;3.850;0.30
385;0.0022360;0.0000640;0.0105500;0.1740100;0.0049800;64.6;3.675;0.21
390;0.0042430;0.0001200;0.0200500;0.1738000;0.0049200;65.8;3.500;0.12
395;0.0076500;0.0002170;0.0362100;0.1735600;0.0049200;80.3;3.920;0.01
400;0.0143100;0.0003960;0.0678500;0.1733400;0.0048000;94.8;4.340;-0.11
405;0.0231900;0.0006400;0.1102000;0.1730200;0.0047800;99.8;4.485;-0.08
410;0.0435100;0.0012100;0.2074000;0.1725800;0.0048000;104.8;4.630;-0.05
415;0.0776300;0.0021800;0.3713000;0.1720900;0.0048300;105.4;4.510;-0.06
420;0.1343800;0.0040000;0.6456000;0.1714100;0.0051000;105.9;4.390;-0.07
425;0.2147700;0.0073000;1.0390500;0.1703000;0.0057900;101.4;4.050;-0.10
430;0.2839000;0.0116000;1.3856000;0.1688800;0.0069000;96.8;3.710;-0.12
435;0.3285000;0.0168400;1.6229600;0.1669000;0.0085600;105.4;3.690;-0.19
440;0.3482800;0.0230000;1.7470600;0.1644100;0.0108600;113.9;3.670;-0.26
445;0.3480600;0.0298000;1.7826000;0.1611000;0.0137900;119.8;3.630;-0.28
450;0.3362000;0.0380000;1.7721100;0.1566400;0.0177000;125.6;3.590;-0.29
455;0.3187000;0.0480000;1.7441000;0.1509900;0.0227400;125.6;3.425;-0.29
460;0.2908000;0.0600000;1.6692000;0.1439600;0.0297000;125.5;3.260;-0.28
465;0.2511000;0.0739000;1.5281000;0.1355000;0.0398800;123.4;3.025;-0.27
470;0.1953600;0.0909800;1.2876400;0.1241200;0.0578000;121.3;2.790;-0.26
475;0.1421000;0.1126000;1.0419000;0.1095900;0.0868400;121.3;2.610;-0.26
480;0.0956400;0.1390200;0.8129500;0.0912900;0.1327000;121.3;2.430;-0.26
485;0.0579500;0.1693000;0.6162000;0.0687100;0.2007200;117.4;2.220;-0.22
490;0.0320100;0.2080200;0.4651800;0.0453900;0.2949800;113.5;2.010;-0.18
495;0.0147000;0.2586000;0.3533000;0.0234600;0.4127000;113.3;1.815;-0.17
500;0.0049000;0.3230000;0.2720000;0.0081700;0.5384200;113.1;1.620;-0.15
505;0.0024000;0.4073000;0.2123000;0.0038600;0.6548200;112.0;1.470;-0.14
510;0.0093000;0.5030000;0.1582000;0.0138700;0.7501900;110.8;1.320;-0.13
515;0.0291000;0.6082000;0.1117000;0.0388500;0.8120200;108.7;1.090;-0.13
520;0.0632700;0.7100000;0.0782500;0.0743000;0.8338000;106.5;0.860;-0.12
525;0.1096000;0.7932000;0.0572500;0.1141600;0.8262100;107.7;0.735;-0.11
530;0.1655000;0.8620000;0.0421600;0.1547200;0.8058600;108.8;0.610;-0.10
535;0.2257500;0.9148500;0.0298400;0.1928800;0.7816300;107.1;0.515;-0.08
540;0.2904000;0.9540000;0.0203000;0.2296200;0.7543300;105.3;0.420;-0.05
545;0.3597000;0.9803000;0.0134000;0.2657800;0.7243200;104.9;0.305;-0.04
550;0.4334500;0.9949500;0.0087500;0.3016000;0.6923100;104.4;0.190;-0.03
555;0.5120500;1.0000000;0.0057500;0.3373600;0.6588500;102.2;0.095;-0.02
560;0.5945000;0.9950000;0.0039000;0.3731000;0.6244500;100.0;0.000;0.00
565;0.6784000;0.9786000;0.0027500;0.4087400;0.5896100;98.0;-0.080;0.01
570;0.7621000;0.9520000;0.0021000;0.4440600;0.5547100;96.0;-0.160;0.02
575;0.8425000;0.9154000;0.0018000;0.4787700;0.5202000;95.6;-0.255;0.04
580;0.9163000;0.8700000;0.0016500;0.5124900;0.4865900;95.1;-0.350;0.05
585;0.9786000;0.8163000;0.0014000;0.5447900;0.4544300;92.1;-0.350;0.13
590;1.0263000;0.7570000;0.0011000;0.5751500;0.4242300;89.1;-0.350;0.21
595;1.0567000;0.6949000;0.0010000;0.6029300;0.3965000;89.8;-0.465;0.27
600;1.0622000;0.6310000;0.0008000;0.6270400;0.3724900;90.5;-0.580;0.32
605;1.0456000;0.5668000;0.0006000;0.6482300;0.3513900;90.4;-0.650;0.37
610;1.0026000;0.5030000;0.0003400;0.6657600;0.3340100;90.3;-0.720;0.41
615;0.9384000;0.4412000;0.0002400;0.6800800;0.3197500;89.4;-0.790;0.44
620;0.8544500;0.3810000;0.0001900;0.6915000;0.3083400;88.4;-0.860;0.47
625;0.7514000;0.3210000;0.0001000;0.7006100;0.2993000;86.2;-0.905;0.49
630;0.6424000;0.2650000;0.0000500;0.7079200;0.2920300;84.0;-0.950;0.51
635;0.5419000;0.2170000;0.0000300;0.7140300;0.2859300;84.6;-1.020;0.59
640;0.4479000;0.1750000;0.0000200;0.7190300;0.2809300;85.1;-1.090;0.67
645;0.3608000;0.1382000;0.0000100;0.7230300;0.2769500;83.5;-1.080;0.70
650;0.2835000;0.1070000;0.0000000;0.7259900;0.2740100;81.9;-1.070;0.73
655;0.2187000;0.0816000;0.0000000;0.7282700;0.2717300;82.3;-1.135;0.80
660;0.1649000;0.0610000;0.0000000;0.7299700;0.2700300;82.6;-1.200;0.86
665;0.1212000;0.0445800;0.0000000;0.7310900;0.2689100;83.8;-1.300;0.92
670;0.0874000;0.0320000;0.0000000;0.7319900;0.2680100;84.9;-1.400;0.98
675;0.0636000;0.0232000;0.0000000;0.7327200;0.2672800;83.1;-1.380;1.00
680;0.0467700;0.0170000;0.0000000;0.7334200;0.2665800;81.3;-1.360;1.02
685;0.0329000;0.0119200;0.0000000;0.7340500;0.2659500;76.6;-1.280;0.93
690;0.0227000;0.0082100;0.0000000;0.7343900;0.2656100;71.9;-1.200;0.83
695;0.0158400;0.0057230;0.0000000;0.7345900;0.2654100;73.1;-1.265;0.90
700;0.0113590;0.0041020;0.0000000;0.7346900;0.2653100;74.3;-1.330;0.96
705;0.0081110;0.0029290;0.0000000;0.7346900;0.2653100;75.4;-1.310;0.91
710;0.0057900;0.0020910;0.0000000;0.7346900;0.2653100;76.4;-1.290;0.85
715;0.0041090;0.0014840;0.0000000;0.7346900;0.2653100;69.9;-1.175;0.78
720;0.0028990;0.0010470;0.0000000;0.7346900;0.2653100;63.3;-1.060;0.70
725;0.0020490;0.0007400;0.0000000;0.7346900;0.2653100;67.5;-1.110;0.73
730;0.0014400;0.0005200;0.0000000;0.7346900;0.2653100;71.7;-1.160;0.76
735;0.0010000;0.0003610;0.0000000;0.7346900;0.2653100;74.4;-1.190;0.78
740;0.0006900;0.0002490;0.0000000;0.7346900;0.2653100;77.0;-1.220;0.80
745;0.0004760;0.0001720;0.0000000;0.7346900;0.2653100;71.1;-1.120;0.74
750;0.0003320;0.0001200;0.0000000;0.7346900;0.2653100;65.2;-1.020;0.67
